Id,tweet (without @),source,Harmful,Looked up word
21,Avec ce couvre fion Tout les joui rs Les hor gasmes du soir  ca dur dur Avec lady chatte ernet,0,1,chatte
22,Humm bonne chienne que tu es je t explosera I bien ta grosse chatte 😍😍,0,1,chatte
23,Hmmm tu mouille comme une chaudasse au moins,0,1,chaudasse
24,MDRRRRRRRRRRRRRRRR quelle chaudasse celui-là,0,1,chaudasse
25,ta mere la chienne enfaite ?,0,1,chienne
26,un colon elle dit mais va niker ta mère la pute c'est comme si appelait les renoi esclave sale chienne,1,1,chienne
27,"Satanisme + cocaïne le mélange infernal! Qui fait de Macron un TUEUR social de centaines de milliers de français: petits patrons, artisans, commerçants, ouvriers, intermittents du spectacle, étudiants! Allez voir qui est le néo-nazi Klaux Schwab pdt du Forum de Davos: son MENTOR!",0,1,cocaïne
28,les arabes presque réussis à vous faire croire que dans le coca il de la cocaine et que israël faisait un complot avec cette boisson,1,1,cocaïne
29,j’viens du shit à thomas et de la coke à rachelle,0,1,coke
30,"LIVRAISON PARTOUT EN FRANCE  
🇫🇷 livraison 🏡🛵200balles minimum
🇫🇷 envoie 📦🚚
Snap : fabienfalcao
J’ai de la frappe en 👇👇🇫🇷
Beuh, coke, shit,olives 🇫🇷",0,1,coke
31,pq tu fais la sjw gauchiste les poids lourds c'est sur la droite. _ et les connards c'est sous les roues,1,1,connard
32,parce que nous est assez intelligent pour fabrique des bazooka et aller sur la lune connard,1,1,connard
33,ferme ta geule connasse avec tes chansons rebeus si tu veux vivre comme ça etc rentre chez toi ici est en france ,1,1,connasse
34,« Elle a acheté le même haut que moi » c’est ton père le couturier connasse ?,0,1,connasse
35,il s'appelle comment ce conard de gauchiste qui ne laisse pas parler les gens... gauchiasse de merde !!,1,1,conard
36,"Méchant colon , comment un homme peut avoir un taux d’approbations de seulement 34% et avoir plus de 75 millions de votes !! Faudrais allumer conard !",0,1,conard
37,"wAllah j’oublie pas la pute d’hier là, j’lui donne un sandwich elle jette cette grosse conasse 🤬",0,1,conasse
38,Bah enft il a rien fait de mal mdr il se fait afficher gratuitement par une conasse la,0,1,conasse
39,mais omg vrm trop conne toi relis phrase pcq t’as l’air un peu attardé sur les bords,1,1,conne
40,En mode quelqu'un va te regretter espece de grosse conne,0,1,conne
41,y’a des bg mais je crois ils sont en seconde wtf j’suis pas cougar,0,1,cougar
42,comment pouvez faire de la pub toute la matinée pour la cougar avec une équipe de ringard ! ! Et le pompom sacrifier les vieux pour sauver les jeunes ....... 🤮🤮🤮🤮🤮 https://t.co/2AyGQVIQ1z,0,1,cougar
43,A part physique chimie c’est pas compliquer mais c’est surtout pcq mon prof il est cassé couille en physique,0,1,couille
44,le débile autiste dégénéré basque sait pourquoi perd mais il s'en bat les couilles,1,1,couille
45,les pays arabes n'ont qu'a les accueillir nous n'en veut pas ras le cul,1,1,cul
46,Cest surtout parce que tu as le feu au cul oui.,0,1,cul
47,"Là tu deviens chelou mec mdr , t’es vrmnt un obséder du cul ahaha alors que t’as 10 piges 🤣🤣🤣 par contre je reconnaît bien ta mère sur la photo , elle c’est bien faites passer dessus par tout Le monde et je l’ai achevée avec un belle faciale dans la tronche",0,1,faciale
48,je veux me prendre une faciale de sa part moi 😋💦✨,0,1,faciale
49,Elle est complètement folle cette go soit disant je l’ai détruite? C’est lui qui a fait le fdp avec moi mdr,0,1,fdp
50,cause de l’autre fdp et sa blague pas trop d’enculé une femme morte égorgé bravo guignol génération d’attardé,1,1,fdp
51,Pas de fesse pas de dm,0,1,fesse
52, envoie fesse,0,1,fesse
53,Je veux bien servir ta queue de male et bouffer ton fion,0,1,fion
54,Porte plainte contre Uber même. Un bon procès dans leur fion ils seront plus concentrés,0,1,fion
55,Et ta soeur grosse fiotte,0,1,fiotte
56,A force de sautiller à gauche à droite et de nous prendre pour des cons! Et je pense aussi  qu'après l'assassinat de patty il a reculé comme une fiotte!  Il ose nous imposer un islam de France il est fou🤮 et la gestion du covid🤢🤢🤢👎,0,1,fiotte
57,Vrai Homme broute la foufoune avec l’herbe!,0,1,foufoune
58,"ok donc toi tes fier parce qu'une s.....e qui a montrer sa foufoune en 1992 te fait un tweet....
bravo 👏👏👏
mais bordel respectez vous un peu.",0,1,foufoune
59,Franchement va te faire foutre.,0,1,foutre
60,Tout le monde ne gère pas bien son argent mais qu'est-ce que ça peut te foutre en fait,0,1,foutre
61,"Tant que #MissFrance ne sera pas une une gouine juive transgenre africano-maghrébine, il y aura des débats et des polémiques...",0,1,gouine
62,trop de PD et gouine,0,1,gouine
63,je passe pour un homo mais elle est insane cette zik,0,1,homo
64,La censure gagne du terrain sous différents motifs ET SI #Finkielkraut eut été de gauche? Black? Beur? Homo? Transgenre ? Quels auraient été les réactions des médiats biens et mals pensants,0,1,homo
65,le terrorisme intellectuel du lobby homosexuel à la mairie de paris en parle?,1,1,homosexuel
66,Toi peut être nous ici on est pas homosexuel ,0,1,homosexuel
67,ntm yanis sale juif,1,1,juif
68,sale juif musulmans je vais salé tes morts et les manger,1,1,juif
69,mais Prq cet enculé s’habille comme une lesbienne ,0,1,lesbienne
70,Vous devenez toute lesbienne ou quoi la con d vos mères,0,1,lesbienne
71,"La weed, le tabac ,le café, l'alcool ,l'argent le sexe ,la méthamphétamine, le cra,k la cocaïne ,la MDMA, la LSD, insulter les gens, aller en prison , fracasser des ours et exploiter des gosses et toi ?",0,1,MDMA
72,"Ouai enfin, il était encore à chercher de la MDMA sur ce réseau il y a qq jours.",0,1,MDMA
73,vraiment la sorbonne quelle fac de merde,0,1,merde
74,on fait ça pour vous protéger et nous protéger bande de merde. A quoi il sert votre masque sous le nez ? Bah à rien.,0,1,merde
75, mdr soudainement envie de devenir voleur et me faire sucer par une milf,0,1,milf
76,Mdrrr les milf divorcées enchaînent comme jamais. Et les gamines en question aiment les players parce qu’elle trouve ça plus attirant,0,1,milf
77,"honnêtement, ce serai que 1h30 par semaine, je pense que je supporterai, mais là, j'ai recompté et enfait c'est 4h30 que j'ai avec cette morue  

osekour venez me chercher 😭",0,1,morue
78,"""avec d'autres sources que vous trouverez vous même""   mais va te faire foutre ? j'viens en cours pour quoi moi ? parce que sinon, je vais plus suivre son cours à cette morue",0,1,morue
79,Très belle nichon je adore bisous,0,1,nichon
80,"Je viens d'assister à une visite prénatale sur l'allaitement. J'étais le seul homme. Je ne comprends pas, c'était pourtant intéressant et nécessaire pour partager la carte mentale.  Gros point négatif : pas vu un nichon.",0,1,nichon
81,mais ntm c toi ltrizo,0,1,ntm
82,Ntm La Sorbonne et ton serveur de merde ptn,0,1,ntm
83,t pd mon reuf?,0,1,pd
84,Tu vois ta mama qui te met des gifle prck tu va pas avoir ton CAP PD VAA,0,1,pd
85, tg frr le jeu de mot était drôle tu te vexe pour rien pedale,0,1,pédale
86,ici les gens aiment trop faire des tweets visée vien pv frero on en parle au lieu de faire la pedale,0,1,pédale
87,vraiment des manières de pédé je ne veux pas être en présence de ce messieur sale gauchiste haineux,1,1,pédé
88,sale arabe sale juif sale noir sale pédé... padon je suis ma… ,1,1,pédé
89,"Le monde devient vraiment bizarre . Avant la pipe produisait de la fumée , maintenant la pipe produit du lait . 
😔😔😔",0,1,pipe
90,"C'est un flic qui emmanche le cul d'une pute quand tout à coup Balkany rentre dans la pièce et lui dit ""Oh putain ça c'est une déchirure """,0,1,pute
91,Y’a une meuf qui fait la pute sur insta sa mère a fait un album photo en la félicitant c’est trop pour moi 😭😭,0,1,pute
92,tu me fais bander comme un taureaux mec,0,1,
93,"« Moi le sexe, ça fait belle levrette queue j’y pense cul du trou, j’y pense à pine 12 fois par jouir, c’est pas beautrou... »",0,1,queue
94,"Ben oui mais avec de bonnes raisons mine de rien  Certes son daron c’est un con, niquer sa cachette comme ça, c’est salaud   Mais sur le fond ben ils ont raison wesh, et puis on a vu les humains ils font quoi à ses potes poissons",0,1,salaud
95,Un salopard de plus. Chef de service médecin qui n'a aucune considération pour la vie humaine. Je suis outré de voir ça.,0,1,salopard
96,"Non, tu parles souvent pour essayer de m’enmerder quitte à dire tout et n’importe quoi ! C’est pas pareil petit salopard !",0,1,salopard
97,Souvent je ris xlm kan 1e fille mdi k elle ns pas cme les otr salope subitama jvw kje s8 encr tmbé sur une otr salope😀😀😀,0,1,salope
98,Au boulot pour ta reine ma salope avant que je te fouette 😈,0,1,salope
99,"nommer une personne ministre non pas par ses compétences mais pour son genre/sexe, joyeuse année 2021",0,1,sexe
100,il te l'as donner en échange de quoi ? une session rp sexe ?,0,1,sexe
101,"Pour passer votre commande me contacter sur :
📲 Snapchat : macbeuh
Telegram : lekrush33",0,1,shit
102,"T'as oublié le shit, les mangas, les jeux vidéo  Je sais pas comment tu fais mais je oense que tu te prostitues",0,1,shit
103,"2. Que vs soyez homos, hétéro, amateurs de sex hard, Fétichiste, voyeuristes,aimant la sodomie,Le sadisme,le masochisme,Les partouzes,les filles minces,les files grasses,les filles claire,les hommes au pénis énorme etc.. Ns vous réalisation tous vos fantasmes. Contact 0900611141.",0,1,sodomie
104,La sodomie... c'est un plaisir.. surtout avec un cul aussi beau,0,1,sodomie
105,"Le fameux suceur de clito dont toutes les femmes raffolent !😏
Et oui plus de soucis du mec qui parle trop après la baise, plus de chaussettes sales qui trainent au pied du lit,...etc. au top!

Faut juste penser à le recharger, lui aussi a besoin de dormir après le sesque 😂",0,1,suceur
106,Pas le DS de l'OM mais pas loin sale suceur,0,1,suceur
107,"Nique ta mère toi espèce de mal baisé, t’es la à répondre à chaque # sur Kamila et Poupette en mode groupie, grosse suceuse Baise ta mère vilaine que t’es avec ta sale gueule",0,1,suceuse
108,J’aime bien qd vous vous faites terminez par ceux que vous sucez habituellement cst trp marrant bande suceuse ché,0,1,suceuse
109,"Ptdrrrrrrrr c tafiole, ils roulent seulement sans rien faire",0,1,tafiole
110,"La tafiole qui voit des PD partout c'est touchant, on voit les autres comme on est soit même. Je me touche pas sur les hommes contrairement à toi mais ça me rassure que ton opinion sur Trump soit le fruit d'une réflexion et de l'objectivité de tes médias favoris.",0,1,tafiole
111,Plus le fait qu'il soit une tapette.,0,1,tapette
112, T'es pathétique à insulter comme une tapette,0,1,tapette
113,mon daron il te brise en deux avec une main ptit fdp vas chercher le tien au lieu de faire des sondages de tarlouze ici,0,1,tarlouze
114,"Tarlouze, encore une merde au rsa qui a des journée avec trop de temps libre 😂",0,1,tarlouze
115,Fugitif il aime pas les vierge il aime pas les taspé tu peux me dire si t’es h0moseksuel zou ?,0,1,taspé
116,"tu mouille ou quoi petite taspé va, même pas honte de pas être un bonhomme",0,1,taspé
117,"Wesh, askiparaît, crasseuse, tu pues d'la techa
les meufs comme toi c'est comme mes phares, faut pas les toucher!!!!!",0,1,techa
118,Je menace pas mais se qui fume il me vanne h24 vous fermez vos techa prcq vous savez que je m'en blc mais quand je le trash vous voulez me faire,0,1,techa
119,"mois de mars ""très dur"" c'est comme ça que j'appelle ma teub.😛",0,1,teub
120,eh oh suce ma teub toi,0,1,teub
121,Crasseuse tu pues de la teuch ,0,1,teuch
122,"On parle de teuch. 
Mon potentiel unfo futur dépendra de ta réponse 😌🤓",0,1,teuch
123,Une défonce de sa teucha ,0,1,teucha
124,"viens ma bella à punta cana... la vie c'est pas GTA ! mano dans le sac et sur sa teucha, et pour le teush tu m'oublies (never)",0,1,teucha
125,"Que je sache tu sors pas avec la bite a l’air non ? Tu la range bien gentiment dans ton caleçon ? Donc pour le masque c’est pareil, le nez c’est dedans ! Trouduc’",0,1,trouduc
126, Ptn tg trouduc,0,1,trouduc
127,Tu n'es qu'une grosse truie. Bonne à traire des bites et te faire couvrir les mamelles de foutre.,0,1,truie
128,Meilleure truie toujours au top nôtre salope adorée,0,1,truie
129,Jfume une weed qui s'appelle comme ça elle est incroyable,0,1,weed
130,"Si c’était toi t’allais dire qu’il ne dure pas , qu’il verse vite . Bah toi aussi baise mieux et ftg .",0,1,baise
131,"Après avoir demandé de siéger à AN pour contrer le fait de mettre l’autocollant de région que l’on veut et qui ne le comprend pas, le petit bonhomme qui ne baise pas ou plus interdit maintenant l’ouverture des remontées mécaniques au ski. Putain mais masturbe toi!!!",0,1,baise
132,Baize ta grand mère le rouquin,0,1,baize
133,jla baize tlm fort elle crois on est plusieurs,0,1,baize
134,ous donnez de la force à ce genre de gros fils de chien né avant la honte mdr. Il aurait du ne rien faire ? Le laisser repartir au bled ? Bande de grosses merdes,0,1,bande
135,LA DÉPRESSION C’EST UNE MALADIE C’EST PAS « STYLÉ » BANDE DE MERDE,0,1,bande
136, j'men branle totalement.,0,1,branle
137,Oui bon bref on lui demande juste d être compétent le reste on s en branle mais d une force....,0,1,branle
138,Bah sors pas connasse et arrête de faire chier le monde si ça t’emmerde tant de mettre correctement ton masque ! ,0,1,chier
139,Ce sont des petites merdes sans fouilles qui se font chier leur vie des cas soc quoi en même tps je le savais  depuis un moment d’ailleurs je vais sûrement lui demander l argent qu’il te dois,0,1,chier
140,"les roses sont rouge 🌹
les jonquilles sont jaunes 🌼 
boom boom boom 💥 
c’est le bruit de mon pénis 🍆
qui culbute ton rectum 🍩 ",0,1,culbute
141,La meuf avec qui je culbute elle sait pas le tarif qu’elle va prendre quand je vais la voir grrrr,0,1,culbute
142,"D'aller ouvrir au livreur comme ça 😜, moi à sa place je t'aurais déglingué après le café 😂😂",0,1,déglingue
143,"Il faut arrêter de dire ""femme transgenre"". C'est juste un homme dégénéré avec un cerveau déglingué.",0,1,déglingue
144,je t’ai fais quoi sale enculé de merde,0,1,enculé
145,Ce crasseux d’enculé comment il m’zehef et elle n’en parlons pas ... on l’a filme comme une prostitué mais elle rigole,0,1,enculé
146, Il est dans l'abus lui cest bon nique ta grand mère castex ta rien compris,0,1,nique
147,Nique ta mère,0,1,nique
148, j'en ais RAS LE BOL !!!!  on nous PISSE DESSUS et ont nous faite croire qu'il pleut  RAS LE BOL !!!!,0,1,pisse
149,T’as été fini à la pisse toi,0,1,pisse
150,Coucou je m'appelle Juliette je suis disponible pour les plan cul payant sans prise je suis très câlin sucé léché caressé aval anal je pratique tout sodomisé le position 69 je me déplace comme je reçois contacté moi direct sur whatssap+33756864669 ou hangout Hopeedet26@gmail. Com,0,1,sodomise
151,J'ai envie de venir te sodomisé,0,1,sodomise
152,Ici je suce personne et j’ai jamais sucer donc je tweet ce que je veux et je défend qui je veux,0,1,suce
153,😭😭😭 suce ma bite et va en paix,0,1,suce
154,La tronche de clochard qu' il a ,0,1,tronche
155,Moi je m’en tape si seulement il pouvait  cacher totalement sa tronche,0,1,tronche
156,Chagasse de t mort va,0,1,chagasse
157,envie de lâcher des gros ‘vas là bas chagasse’,0,1,chagasse
158,Bah alors si t'as pas vu le doc pourquoi tu ouvres ta gueule va regarder et après tu ouvriras ta gueule c'est votre problème tous les spécialistes non payées par les labos vous préviennent qu'il y a danger et vous dites quoi c'est des menteurs alors que vous y connaissez rien,0,1,ta gueule
159,"je déteste de me confier à une personne et qu’ensuite elle puisse le raconter haut et fort à ses autres copines, genre tu sais pas fermer ta gueule ???",0,1,ta gueule
160, ta mere la chienne enfaite ?,0,1,ta mère
161,C'est ta mère la grosse pute petit cafard,0,1,ta mère
162,Maintenant tu as mal à la joue ils vont te dire ahhh t’a l’corona sayer va te faire foutre toi et lui,0,1,va te faire
163,Va te faire enculer,0,1,va te faire
164,j’ai été remplacé par un autre renoi dans les snaps d’une sale algérienne,1,1,snap
165,viens snap mongol fait un audio,1,1,snap
166,tu te crois intelligent avec ta réflexion facebook d'attardé ?,1,1,facebook
167,Je t’es  trouvé         Je t’es   trouvé Sur Instagram.        Sur Twitter.,0,1,instagram
168,Montre tes gros seins de vache a traire cochonne,0,1,cochonne
169,Elle aime ça les queues la cochonne 😜,0,1,cochonne
170,c’est toi la bombe,0,1,bombe
171,"T’es en couple enlève moi de ta story privé sale petasse va, si je sais c’est qui ton mec je vais lui dire",0,1,pétasse
172,"Yen a elles mettent des nudes sur insta et elles te sortent que c de l’art, ça m’étonnerait que t’es darons ils valident ton talent d’artiste pétasse",0,1,pétasse
173, alors pas du tous toi tu es vraiment attardé,1,1,
174,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste,1,1,
175,quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,1,1,
176,qui de deter aller au chinois ds la semaine la j...ai trop envie d...un noich,1,1,
177,les #migrants traversent la mer et trouvent les aides sociales…,1,1,
178,ptn j’en ai marre des rebeus,1,1,
179, merde j'avais pas reconnus le pygmé... mais cet violence gratuite et spontané c'est bien lui,1,1,
180, jv t’arracher les yeux des orbites tu parles trop mal sale arabe,1,1,
181,les nazis de la bien-pensance gauchiste pire fleau actuel.,1,1,
182, alors toi t'es peut etre semi-pd mais t'es entierement con,1,1,
183,y’a que des rebeus chez moi mon appart c’est pôle emploi,1,1,
184,il s’appelle adnan oktar il est en prison la ce mongol,1,1,
185,donnez l’exemple vielle mentalité gauchi,1,1,
186,la bonne blague. l'esclavage arabo-musulman le terrorisme et l'islamisme c'est déjà pas mal comme dégâts.,1,1,
187,sale mongol de lépreux consanguin c'est de l'humour bordel de merde,1,1,
188,y’a quoi de raciste ? :) en mode g dis les renois c tte des pûtes,1,1,
189,sale féministe,1,1,
190,mdr jrigolai c un chinoi ching chong,1,1,
191,une éducation sans couilles de gauchiste,1,1,
192,la difference entre lui et toi c est qu il fait 12 ans etude et que toi es juste un putin attardé,1,1,
193,voilà une offre sponso par zemmour ! allez les rebeus aller simple pour la maison,1,1,
194,j’ai pas compris la sale arabe tu veu s’tap,1,1,
195,ptin j'ai eu l'air d'un mongol à essayer de le faire sans la paume c'est incoyable le chomage,1,1,
196, nique tes morts sale juif,1,1,
197,façon gauchiste c'est comme le choléra ça se repend de partout,1,1,
198,j’ai rien contre lui j’rigolais mongol va,1,1,
199, les rebeus la peau lisse c ca faiblesse,1,1,
200,ce qui tue c'est que meme offset il en marre de cardi b wallah apars sa reuss personne peut la supporte cette grosse mongol,1,1,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
